ace,"[1 space]"
bar,"<code>|</code>"
bas,"<code>\</code>"
buc,"<code>$</code>"
cab,"<code>_</code>"
cen,"<code>%</code>"
col,"<code>:</code>"
com,"<code>,</code>"
doq,"<code>""</code>"
dot,"<code>.</code>"
fas,"<code>/</code>"
gal,"<code><</code>"
gap,"[>1 space, newline]"
gar,"<code>></code>"
hax,"<code>#</code>"
hep,"<code>-</code>"
kel,"<code>{</code>"
ker,"<code>}</code>"
ket,"<code>^</code>"
lus,"<code>+</code>"
mic,"<code>;</code>"
pal,"<code>(</code>"
pam,"<code>&</code>"
par,"<code>)</code>"
pat,"<code>@</code>"
sel,"<code>[</code>"
ser,"<code>]</code>"
sig,"<code>~</code>"
soq,"<code>'</code>"
tar,"<code>*</code>"
tic,"<code>`</code>"
tis,"<code>=</code>"
wut,"<code>?</code>"
zap,"<code>!</code>"
