<code>@</code>,"the empty aura"
<code>@c</code>,"the aura of a Unicode codepoint<br><code>~-~45fed</code>"
<code>@d</code>,"the aura of a date"
<code>@da</code>,"the aura of an absolute date<br><code>~2018.5.14..22.31.46..1435</code>"
<code>@dr</code>,"the aura of a relative date<br><code>~h5.m30.s12</code>"
<code>@f</code>,"the aura of a loobean (for compiler, not castable)<br><code>&</code>"
<code>@i</code>,"the aura of an Internet address"
<code>@if</code>,"the aura of an IPv4 address<br><code>.195.198.143.90</code>"
<code>@is</code>,"the aura of an IPv6 address<br><code>.0.0.0.0.0.1c.c3c6.8f5a</code>"
<code>@n</code>,"the aura of nil (for compiler, not castable)<br><code>~</code>"
<code>@p</code>,"the aura of a phonemic base (ship name)<br><code>~sorreg-namtyv</code>"
<code>@q</code>,"the aura of an unscrambled phonemic base<br><code>.~litsyn-polbel</code>"
<code>@r</code>,"the aura of an IEEE floating-point number"
<code>@rd</code>,"the aura of a double precision (64-bit) IEEE floating-point number<br><code>.~6.02214085774e23</code>"
<code>@rh</code>,"the aura of a half precision (16-bit) IEEE floating-point number<br><code>.~~3.14</code>"
<code>@rq</code>,"the aura of a quad precision (128-bit) IEEE floating-point number<br><code>.~~~6.02214085774e23</code>"
<code>@rs</code>,"the aura of a single precision (32-bit) IEEE floating-point number<br><code>.6.022141e23</code>"
<code>@s</code>,"the aura of a signed integer with the sign bit low"
<code>@sb</code>,"the aura of a signed integer in binary<br><code>--0b11.1000</code>"
<code>@sd</code>,"the aura of a signed integer in decimal<br><code>--1.000.056</code>"
<code>@sv</code>,"the aura of a signed integer in base32<br><code>-0v1df64.49beg</code>"
<code>@sw</code>,"the aura of a signed integer in base64<br><code>--0wbnC.8haTg</code>"
<code>@sx</code>,"the aura of a signed integer in hexadecimal<br><code>-0x5f5.e138</code>"
<code>@t</code>,"the aura of UTF-8 text (cord)<br><code>'howdy'</code>"
<code>@ta</code>,"the aura of ASCII text (knot)<br><code>~.howdy</code>"
<code>@tas</code>,"the aura of an ASCII text symbol (term)<br><code>%howdy</code>"
<code>@tD</code>,"the aura of an ASCII character"
<code>@u</code>,"the aura of an unsigned integer"
<code>@ub</code>,"the aura of an unsigned integer in binary<br><code>0b11.1000</code>"
<code>@ud</code>,"the aura of an unsigned integer in decimal<br><code>1.000.056</code>"
<code>@uv</code>,"the aura of an unsigned integer in base32<br><code>0v1df64.49beg</code>"
<code>@uw</code>,"the aura of an unsigned integer in base64<br><code>0wbnC.8haTg</code>"
<code>@ux</code>,"the aura of an unsigned integer in hexadecimal<br><code>0x5f5.e138</code>"
